Drug	DEG	logFC
Geldanamycin	PRICKLE3	1
Geldanamycin	SYTL3	1
Geldanamycin	ZNF496	1
Geldanamycin	MBNL2	1
Geldanamycin	HSF2	1
Geldanamycin	VLDLR	1
Geldanamycin	GBA2	1
Geldanamycin	MEAF6	1
Geldanamycin	ARHGAP28	1
Geldanamycin	SYT3	1
Geldanamycin	MTMR11	1
Geldanamycin	ABCB6 /// ATG9A	1
Geldanamycin	LOC729020 /// RPE	1
Geldanamycin	SLC20A2	1
Geldanamycin	SUMF2	1
Geldanamycin	NGFR	1
Geldanamycin	TMEM106C	1
Geldanamycin	GRB2	1
Geldanamycin	STK39	1
Geldanamycin	PDCD5	1
Geldanamycin	HMGN3	1
Geldanamycin	ZNF394	1
Geldanamycin	RFC4	1
Geldanamycin	GAA	1
Geldanamycin	PDCL	1
Geldanamycin	TNPO2	1
Geldanamycin	C1orf122	1
Geldanamycin	AMD1	1
Geldanamycin	AIFM3	1
Geldanamycin	C1orf103	1
Geldanamycin	PSENEN	1
Geldanamycin	PPIB	1
Geldanamycin	C17orf58	1
Geldanamycin	PPP2R2B	1
Geldanamycin	CCL3	1
Geldanamycin	ARF6	1
Geldanamycin	DUT	1
Geldanamycin	CCDC58	1
Geldanamycin	OGG1	1
Geldanamycin	THUMPD3	1
Geldanamycin	DFNB31	1
Geldanamycin	HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5	1
Geldanamycin	CCNB2	1
Geldanamycin	CAPN5	1
Geldanamycin	PLP2	1
Geldanamycin	PFDN6	1
Geldanamycin	PPP1R7	1
Geldanamycin	TOMM5	1
Geldanamycin	ETFB	1
Geldanamycin	SS18L2	1
Geldanamycin	MRPL52	1
Geldanamycin	USP1	1
Geldanamycin	CCDC90A	1
Geldanamycin	TEX14	1
Geldanamycin	TRMT11	1
Geldanamycin	CLDN15	1
Geldanamycin	TUBE1	1
Geldanamycin	AURKA	1
Geldanamycin	EXOSC6	1
Geldanamycin	ARHGAP17	1
Geldanamycin	MTP18	1
Geldanamycin	STX4	1
Geldanamycin	FZR1	1
Geldanamycin	TYMS	1
Geldanamycin	C6orf129	1
Geldanamycin	ALG3	1
Geldanamycin	BTG1	1
Geldanamycin	C11orf31	1
Geldanamycin	ZNF536	1
Geldanamycin	HSPA5	1
Geldanamycin	AK3L1	1
Geldanamycin	PPDPF	1
