Abiraterone	Afatinib	Aflibercept	Aldesleukin	Aminophylline	Anakinra	Anastrozole	Arsenic trioxide	Axitinib	Azacitidine	Bevacizumab	Bexarotene	Bortezomib	Bosutinib	Brentuximab vedotin	Busulfan	Cabazitaxel	Capecitabine	Carboplatin	Carmustine	Carvedilol	Cediranib	Celecoxib	Cetuximab	Chenodeoxycholic acid	Chlorambucil	Cisplatin	Clofarabine	Cyclophosphamide	Cytarabine	Dacarbazine	Dasatinib	Daunorubicin	Decitabine	Dexamethasone	Diphenhydramine	Docetaxel	Doxorubicin	Enalapril	Epirubicin	Erlotinib	Etodolac	Etoposide	Everolimus	Exemestane	Fludarabine	Fluorouracil	Fotemustine	Fulvestrant	Gefitinib	Gemcitabine	Idarubicin	Imatinib	Interferon alfa-2a	Ipilimumab	Irinotecan	Ixabepilone	Ketoconazole	Lansoprazole	Lapatinib	Lenalidomide	Letrozole	Lomustine	Melphalan	Metformin	Methotrexate	Methoxsalen	Midazolam	Midostaurin	Mitomycin	Mitoxantrone	Naloxone	Octreotide	Olaparib	Oxaliplatin	Oxycodone	Paclitaxel	Pazopanib	Peginterferon alfa-2b	Pemetrexed	Pertuzumab	Prednisone	Pregabalin	Procainamide	Propranolol	Rituximab	Romidepsin	Romiplostim	Rosiglitazone	Simvastatin	Sirolimus	Sorafenib	Sunitinib	Tamoxifen	Temozolomide	Temsirolimus	Thalidomide	Theophylline	Topotecan	Toremifene	Trabectedin	Trastuzumab	Tretinoin	Trientine	Trifluridine	Vandetanib	Vincristine	Vinorelbine	Vorinostat	Zoledronic acid
Abiraterone	1	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.367879441171442	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988
Afatinib	0.0820849986238988	1	0.135335283236613	0.0820849986238988	0.135335283236613	0.367879441171442	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.606530659712633	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.0820849986238988	0.0820849986238988	0.135335283236613	0.367879441171442	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.606530659712633	0.135335283236613	0.0820849986238988	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.367879441171442	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613
Aflibercept	0.0820849986238988	0.135335283236613	1	0.0820849986238988	0.367879441171442	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.367879441171442	0.0820849986238988	0.367879441171442	0.22313016014843	0.22313016014843	0.0820849986238988	0.135335283236613	0.22313016014843	0.367879441171442	0.0820849986238988	0.367879441171442	0.606530659712633	0.367879441171442	0.22313016014843	0.22313016014843	0.0820849986238988	0.367879441171442	0.0820849986238988	0.0820849986238988	0.135335283236613	0.22313016014843	0.0820849986238988	0.367879441171442	0.22313016014843	0.0820849986238988	0.0820849986238988	0.367879441171442	0.135335283236613	0.0820849986238988	0.135335283236613	0.22313016014843	0.22313016014843	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.22313016014843	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.606530659712633	0.0820849986238988	0.367879441171442	0.367879441171442	0.0820849986238988	0.22313016014843	0.367879441171442	0.606530659712633	0.135335283236613	0.606530659712633	0.0820849986238988	0.606530659712633	0.22313016014843	0.0820849986238988	0.606530659712633	0.22313016014843	0.367879441171442	0.606530659712633	0.22313016014843	0.135335283236613	0.0820849986238988	0.367879441171442	0.135335283236613	0.606530659712633	0.135335283236613	0.22313016014843	0.0820849986238988	0.367879441171442	0.0820849986238988	0.22313016014843	0.135335283236613	0.0820849986238988	0.606530659712633	0.367879441171442	0.22313016014843	0.22313016014843	0.367879441171442	0.135335283236613	0.606530659712633	0.22313016014843	0.606530659712633	0.0820849986238988	0.22313016014843	0.22313016014843	0.22313016014843	0.0820849986238988	0.22313016014843	0.22313016014843	0.367879441171442	0.606530659712633	0.22313016014843	0.606530659712633	0.135335283236613	0.367879441171442	0.22313016014843	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.606530659712633
Aldesleukin	0.0820849986238988	0.0820849986238988	0.0820849986238988	1	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988
Aminophylline	0.0820849986238988	0.135335283236613	0.367879441171442	0.0820849986238988	1	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.367879441171442	0.0820849986238988	0.367879441171442	0.22313016014843	0.22313016014843	0.0820849986238988	0.135335283236613	0.22313016014843	0.367879441171442	0.0820849986238988	0.367879441171442	0.367879441171442	0.367879441171442	0.22313016014843	0.22313016014843	0.0820849986238988	0.367879441171442	0.0820849986238988	0.0820849986238988	0.135335283236613	0.22313016014843	0.0820849986238988	0.606530659712633	0.22313016014843	0.0820849986238988	0.0820849986238988	0.367879441171442	0.135335283236613	0.0820849986238988	0.135335283236613	0.22313016014843	0.22313016014843	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.22313016014843	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.367879441171442	0.0820849986238988	0.606530659712633	0.606530659712633	0.0820849986238988	0.22313016014843	0.606530659712633	0.367879441171442	0.135335283236613	0.367879441171442	0.0820849986238988	0.367879441171442	0.22313016014843	0.0820849986238988	0.367879441171442	0.22313016014843	0.367879441171442	0.367879441171442	0.22313016014843	0.135335283236613	0.0820849986238988	0.367879441171442	0.135335283236613	0.367879441171442	0.135335283236613	0.22313016014843	0.0820849986238988	0.367879441171442	0.0820849986238988	0.22313016014843	0.135335283236613	0.0820849986238988	0.367879441171442	0.606530659712633	0.22313016014843	0.22313016014843	0.367879441171442	0.135335283236613	0.367879441171442	0.22313016014843	0.367879441171442	0.0820849986238988	0.22313016014843	0.22313016014843	0.22313016014843	0.0820849986238988	0.22313016014843	0.22313016014843	0.606530659712633	0.367879441171442	0.22313016014843	0.367879441171442	0.135335283236613	0.367879441171442	0.22313016014843	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.367879441171442
Anakinra	0.0820849986238988	0.367879441171442	0.135335283236613	0.0820849986238988	0.135335283236613	1	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.367879441171442	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.0820849986238988	0.0820849986238988	0.135335283236613	0.606530659712633	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.367879441171442	0.135335283236613	0.0820849986238988	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.367879441171442	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613
Anastrozole	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	1	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988
Arsenic trioxide	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	1	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988
Axitinib	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	1	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.22313016014843	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988
Azacitidine	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	1	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.135335283236613	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988	0.0820849986238988
