Drug	side_effect_name
Abiraterone	Chest discomfort
Abiraterone	Chest pain
Abiraterone	Connective tissue disorder
Abiraterone	Infestation
Abiraterone	Fluid retention
Abiraterone	Fracture
Abiraterone	Gastrointestinal disorder
Abiraterone	Cardio-respiratory arrest
Abiraterone	Haematuria
Abiraterone	Contusion
Abiraterone	Cough
Abiraterone	Constipation
Abiraterone	Diarrhoea
Abiraterone	Discomfort
Abiraterone	Dyspepsia
Abiraterone	Groin pain
Abiraterone	Fatigue
Abiraterone	Infection
Abiraterone	Infectious pneumonitis
Abiraterone	Acute coronary syndrome
Abiraterone	Infestation NOS
Abiraterone	Anaemia
Abiraterone	Hepatotoxicity
Abiraterone	Hot flush
Abiraterone	Dermatitis
Abiraterone	Hypernatraemia
Abiraterone	Hypertension
Abiraterone	Hypertriglyceridaemia
Abiraterone	Dyspnoea
Abiraterone	Hypophosphataemia
Abiraterone	Cardiac disorder
Abiraterone	Cardiac failure
Abiraterone	Myalgia
Abiraterone	Myocardial infarction
Abiraterone	Myocardial ischaemia
Abiraterone	Nasopharyngitis
Abiraterone	Nocturia
Abiraterone	Oedema
Abiraterone	Phosphatase alkaline increased
Abiraterone	Pneumonia
Abiraterone	Pollakiuria
Abiraterone	Hypokalaemia
Abiraterone	Body temperature increased
Abiraterone	Skin disorder
Abiraterone	Sudden death
Abiraterone	Unspecified disorder of skin and subcutaneous tissue
Abiraterone	Upper respiratory tract infection
Abiraterone	Urethral disorder
Abiraterone	Urinary tract disorder
Abiraterone	Urinary tract infection
Abiraterone	Vomiting
Abiraterone	Hypercholesterolaemia
Abiraterone	Hyperglycaemia
Abiraterone	Menopausal symptoms
Abiraterone	Potassium low
Abiraterone	Rash
Abiraterone	Blood triglycerides increased
Abiraterone	Multiple fractures
Abiraterone	Musculoskeletal discomfort
Abiraterone	Joint swelling
Abiraterone	Alanine aminotransferase increased
Abiraterone	Mediastinal disorder
Abiraterone	Insomnia
Abiraterone	Blood alkaline phosphatase increased
Abiraterone	Lymphopenia
Abiraterone	Arrhythmia
Abiraterone	Asthenia
Abiraterone	Mental disorder
Abiraterone	Blood potassium decreased
Abiraterone	Angiopathy
Abiraterone	Aspartate aminotransferase increased
Afatinib	Alopecia
Afatinib	Aphthous stomatitis
Afatinib	Aspartate aminotransferase increased
Afatinib	Asthenia
Afatinib	Back pain
Afatinib	Bladder pain
Afatinib	Blood potassium decreased
Afatinib	Body temperature increased
Afatinib	Chapped skin
Afatinib	Cheilitis
Afatinib	Conjunctival hyperaemia
Afatinib	Conjunctival irritation
