17-DMAG	2-Methoxyestradiol	Abiraterone	Afatinib	Aflibercept	Aldesleukin	Aminophylline	Anakinra	Anastrozole	Arsenic trioxide	Axitinib	Azacitidine	Bevacizumab	Bortezomib	Bosutinib	Brentuximab vedotin	Cabazitaxel	Canfosfamide	Capecitabine	Carmustine	Carvedilol	Cediranib	Celecoxib	Cetuximab	Chenodeoxycholic acid	Clofarabine	Cytarabine	Dacarbazine	Dasatinib	Daunorubicin	Decitabine	Dexamethasone	Diphenhydramine	Docetaxel	Doxorubicin	Emodin	Enalapril	Epirubicin	Erlotinib	Etodolac	Etoposide	Everolimus	Exemestane	Fenretinide	Fludarabine	Fluorouracil	Fulvestrant	Gefitinib	Gemcitabine	Gemtuzumab ozogamicin	Genistein	Ibritumomab tiuxetan	Idarubicin	Imatinib	Interferon alfa-2a	Ipilimumab	Irinotecan	Ixabepilone	Ketoconazole	Lansoprazole	Lapatinib	Lenalidomide	Letrozole	Leucovorin	LG100268	Metformin	Midazolam	Mitoxantrone	Naloxone	Octreotide	Olaparib	Oxycodone	Paclitaxel	Pazopanib	Peginterferon alfa-2b	Pemetrexed	Pertuzumab	Plitidepsin	Prednisone	Pregabalin	Propranolol	Rifampin	Rituximab	Romidepsin	Romiplostim	Simvastatin	Sirolimus	Sorafenib	Sunitinib	Tamoxifen	Temsirolimus	Thalidomide	Theophylline	Tipifarnib	Topotecan	Toremifene	Trastuzumab	Tretinoin	Trifluridine	Valproic Acid	Vandetanib	Vinorelbine	Vitamin D2	Vorinostat	Zoledronate	Zoledronic acid
17-DMAG	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
2-Methoxyestradiol	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Abiraterone	0	0	1	0.252032520325203	0	0	0.0849673202614379	0	0.168269230769231	0	0	0.154716981132075	0	0.0901898734177215	0.222929936305732	0	0.253012048192771	0.0697674418604651	0.126016260162602	0.112107623318386	0.180811808118081	0	0.155988857938719	0	0.17578125	0.164319248826291	0	0	0.146964856230032	0.127272727272727	0.190082644628099	0.0958904109589041	0.094017094017094	0.15	0.100189035916824	0	0.133891213389121	0.100189035916824	0.17989417989418	0.110132158590308	0.178947368421053	0.142857142857143	0.206060606060606	0	0.142857142857143	0.132075471698113	0.201492537313433	0.165680473372781	0.19815668202765	0	0	0	0.119205298013245	0.144772117962467	0	0	0.158878504672897	0.216666666666667	0.151162790697674	0.119369369369369	0.274336283185841	0.108317214700193	0.208955223880597	0.120689655172414	0	0.160220994475138	0.0882352941176471	0.175355450236967	0.142857142857143	0.122699386503067	0	0.115727002967359	0.129955947136564	0.170542635658915	0	0.181818181818182	0	0	0.13448275862069	0.068075117370892	0.122699386503067	0	0	0	0	0.120418848167539	0.137142857142857	0.185022026431718	0.156976744186047	0.153543307086614	0.221719457013575	0.113475177304965	0.0827586206896552	0	0.174193548387097	0.154929577464789	0	0.100840336134454	0	0.108938547486034	0.172	0.163366336633663	0.0520833333333333	0.131147540983607	0.160919540229885	0.160919540229885
Afatinib	0	0	0.252032520325203	1	0	0	0.0987654320987654	0	0.118421052631579	0	0	0.182156133828996	0	0.0885093167701863	0.221556886227545	0	0.27906976744186	0.0721649484536082	0.118577075098814	0.130434782608696	0.136986301369863	0	0.13563829787234	0	0.185606060606061	0.19815668202765	0	0	0.166666666666667	0.11587982832618	0.2	0.0885245901639344	0.102362204724409	0.158536585365854	0.114446529080675	0	0.132	0.114446529080675	0.305555555555556	0.123404255319149	0.191919191919192	0.146788990825688	0.159340659340659	0	0.14572864321608	0.125	0.201388888888889	0.290123456790123	0.162393162393162	0	0	0	0.117283950617284	0.14621409921671	0	0	0.155555555555556	0.235294117647059	0.166666666666667	0.118681318681319	0.333333333333333	0.122840690978887	0.180555555555556	0.183333333333333	0	0.174603174603175	0.092741935483871	0.150442477876106	0.111111111111111	0.125	0	0.134502923976608	0.131465517241379	0.171641791044776	0	0.217647058823529	0	0	0.1	0.0671296296296296	0.147058823529412	0	0	0	0	0.118811881188119	0.129476584022039	0.221739130434783	0.161473087818697	0.109090909090909	0.242290748898678	0.118055555555556	0.0974025974025974	0	0.235668789808917	0.165562913907285	0	0.112033195020747	0.0208333333333333	0.136111111111111	0.224899598393574	0.165094339622642	0.0462962962962963	0.171875	0.175373134328358	0.175373134328358
Aflibercept	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Aldesleukin	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Aminophylline	0	0	0.0849673202614379	0.0987654320987654	0	0	1	0	0.103305785123967	0	0	0.10738255033557	0	0.0786686838124055	0.085427135678392	0	0.131707317073171	0.104761904761905	0.0926275992438563	0.128630705394191	0.139072847682119	0	0.100250626566416	0	0.120689655172414	0.128630705394191	0	0	0.106936416184971	0.162393162393162	0.118279569892473	0.109677419354839	0.178294573643411	0.101123595505618	0.0958408679927667	0	0.15234375	0.0958408679927667	0.117647058823529	0.2	0.132420091324201	0.0963597430406852	0.103960396039604	0	0.121495327102804	0.123404255319149	0.121212121212121	0.116161616161616	0.0923076923076923	0	0	0	0.16969696969697	0.110837438423645	0	0	0.114754098360656	0.104545454545455	0.144329896907216	0.0922431865828092	0.12751677852349	0.0834845735027223	0.13135593220339	0.175572519083969	0	0.119617224880383	0.145748987854251	0.138075313807531	0.125925925925926	0.123919308357349	0	0.13960113960114	0.104938271604938	0.0759075907590759	0	0.11734693877551	0	0	0.110062893081761	0.0698739977090493	0.143646408839779	0	0	0	0	0.117370892018779	0.10761154855643	0.109848484848485	0.0848329048843188	0.0856164383561644	0.101123595505618	0.102449888641425	0.905263157894737	0	0.12568306010929	0.0867052023121387	0	0.093812375249501	0.0185185185185185	0.0963541666666667	0.100694444444444	0.135964912280702	0.0330578512396694	0.102040816326531	0.123711340206186	0.123711340206186
Anakinra	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
Anastrozole	0	0	0.168269230769231	0.118421052631579	0	0	0.103305785123967	0	1	0	0	0.183139534883721	0	0.128571428571429	0.181451612903226	0	0.197674418604651	0.0432432432432432	0.195255474452555	0.187074829931973	0.245562130177515	0	0.246376811594203	0	0.284345047923323	0.183050847457627	0	0	0.182519280205656	0.22887323943662	0.196923076923077	0.175977653631285	0.122549019607843	0.218181818181818	0.204585537918871	0	0.231788079470199	0.204585537918871	0.195571955719557	0.234265734265734	0.217228464419476	0.168650793650794	0.435406698564593	0	0.200757575757576	0.18815331010453	0.316582914572864	0.155038759689922	0.227891156462585	0	0	0	0.129707112970711	0.216589861751152	0	0	0.246428571428571	0.189591078066914	0.205645161290323	0.227926078028747	0.172248803827751	0.197158081705151	0.415637860082305	0.178571428571429	0	0.182509505703422	0.128526645768025	0.22887323943662	0.0853080568720379	0.216145833333333	0	0.198492462311558	0.19921875	0.192307692307692	0	0.233333333333333	0	0	0.178082191780822	0.141083521444695	0.140562248995984	0	0	0	0	0.22568093385214	0.229064039408867	0.193548387096774	0.182464454976303	0.412186379928315	0.200647249190939	0.222222222222222	0.102564102564103	0	0.263392857142857	0.244131455399061	0	0.170411985018727	0.016304347826087	0.251256281407035	0.155425219941349	0.217391304347826	0.0631578947368421	0.154589371980676	0.220543806646526	0.220543806646526
Arsenic trioxide	NA	NA	0	0	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0
