pathway_name,drug,logFC,kegg_pathway_ID
KEGG_ABC_TRANSPORTERS,Trifluridine,0.220761343490909,hsa02010
KEGG_ABC_TRANSPORTERS,Clofarabine,0.317734889981088,hsa02010
KEGG_ABC_TRANSPORTERS,Fulvestrant,0.258028402988279,hsa02010
KEGG_ABC_TRANSPORTERS,Palbociclib,0.206101504039881,hsa02010
KEGG_ABC_TRANSPORTERS,Daunorubicin,0.326084795891466,hsa02010
KEGG_ABC_TRANSPORTERS,Vorinostat,0.297706685860055,hsa02010
KEGG_ABC_TRANSPORTERS,Osimertinib,0.179074842034273,hsa02010
KEGG_ABC_TRANSPORTERS,Mitoxantrone,0.255692848724349,hsa02010
KEGG_ABC_TRANSPORTERS,Lonafarnib,0.278335459980402,hsa02010
KEGG_ABC_TRANSPORTERS,Belinostat,0.354377479829192,hsa02010
KEGG_ABC_TRANSPORTERS,Fluorouracil,0.220426020099508,hsa02010
KEGG_ABC_TRANSPORTERS,Regorafenib,0.214524475753627,hsa02010
KEGG_ABC_TRANSPORTERS,Bortezomib,0.150957949793694,hsa02010
KEGG_ABC_TRANSPORTERS,Etoposide,0.223394944177815,hsa02010
KEGG_ABC_TRANSPORTERS,Midostaurin,0.30161304623687,hsa02010
KEGG_ABC_TRANSPORTERS,Irinotecan,0.316653105041694,hsa02010
KEGG_ABC_TRANSPORTERS,Dasatinib,0.144361141761912,hsa02010
KEGG_ABC_TRANSPORTERS,SN-38,0.205650912619748,hsa02010
KEGG_ABC_TRANSPORTERS,Cabozantinib,0.157492809588494,hsa02010
KEGG_ABC_TRANSPORTERS,Crizotinib,0.18158908199091,hsa02010
KEGG_ABC_TRANSPORTERS,Doxorubicin,0.266944048875077,hsa02010
KEGG_ABC_TRANSPORTERS,Dinaciclib,0.209152229308519,hsa02010
KEGG_ABC_TRANSPORTERS,Geldanamycin,0.214984352169381,hsa02010
KEGG_ABC_TRANSPORTERS,Afatinib,0.153966655298161,hsa02010
KEGG_ABC_TRANSPORTERS,Epirubicin,0.324327412278751,hsa02010
KEGG_ABC_TRANSPORTERS,Bosutinib,0.20738215381843,hsa02010
KEGG_ABC_TRANSPORTERS,Rosiglitazone,-0.267302997228642,hsa02010
KEGG_ABC_TRANSPORTERS,Dacomitinib,0.157743580036754,hsa02010
KEGG_ABC_TRANSPORTERS,Nintedanib,0.161108615765995,hsa02010
KEGG_ACUTE_MYELOID_LEUKEMIA,Sunitinib,-0.188061683936214,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Dasatinib,-0.113176967819535,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Mitoxantrone,-0.166263977125172,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Everolimus,0.145472591311923,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Bortezomib,-0.0229182706092029,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Bosutinib,-0.129837394142464,hsa05221
KEGG_ADHERENS_JUNCTION,Bortezomib,0.0382128107029795,hsa04520
KEGG_ADHERENS_JUNCTION,Vorinostat,0.120344944253666,hsa04520
KEGG_ADHERENS_JUNCTION,Idelalisib,0.133054898860187,hsa04520
KEGG_ADHERENS_JUNCTION,Tamoxifen,0.187539390877684,hsa04520
KEGG_ADHERENS_JUNCTION,Toremifene,0.16276208631369,hsa04520
KEGG_ADHERENS_JUNCTION,Linifanib,0.316435674278303,hsa04520
KEGG_ADHERENS_JUNCTION,Sunitinib,0.189527620861621,hsa04520
KEGG_ADHERENS_JUNCTION,Ketoconazole,0.166949189543647,hsa04520
KEGG_ADHERENS_JUNCTION,Fluorouracil,0.215632248527509,hsa04520
KEGG_ADHERENS_JUNCTION,Belinostat,0.113540494426545,hsa04520
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Temozolomide,-0.210551078114143,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Bortezomib,-0.0357496436883369,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Crizotinib,0.196500139688974,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Toremifene,0.222312189731888,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Azacitidine,0.160854425760104,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Clofarabine,0.201186302860531,hsa04920
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Geldanamycin,-0.224253603774803,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Belinostat,-0.193814246174895,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Osimertinib,-0.213570990527144,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Fluorouracil,-0.337523425079494,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Linifanib,-0.217943669557918,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Afatinib,-0.210864561017041,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Vorinostat,-0.356136338099925,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Crizotinib,-0.293135928927914,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Sorafenib,0.193039770356961,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Ixazomib,-0.25957359310486,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,MK-2206,-0.211560834907051,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Carfilzomib,-0.378255601160472,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Exemestane,-0.257105081748676,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Midostaurin,0.248414540548572,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Sirolimus,-0.117928907442685,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Bortezomib,-0.296831162137944,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Sunitinib,-0.353982232889807,hsa00250
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Vorinostat,0.350595027898051,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Prednisone,-0.186332726603578,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Belinostat,0.292110840507239,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Gemcitabine,0.176000208453793,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Cabozantinib,0.101636181871717,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Crizotinib,0.177375104153301,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Lonafarnib,0.18909675286591,hsa04960
