drug,DEG,logFC
ABT-737,DDIT4,2.24720931520649
ABT-737,MTHFD2,1.46807870677873
ABT-737,HERPUD1,2.88375960144342
ABT-737,MARS,1.38704111996819
ABT-737,DDIT3,1.94403565631193
ABT-737,CARS,0.857549629959406
ABT-737,AARS,1.03834678612504
ABT-737,SNRPD1,-1.14430647270352
ABT-737,GTPBP2,1.22575483135148
ABT-737,YARS,1.13088874255909
ABT-737,GLTP,1.13778954861211
ABT-737,GOT1,1.30669605965708
ABT-737,EMSY,0.524738573560529
ABT-737,ZCCHC8,0.892117752748378
ABT-737,PPIF,-1.49318005056942
ABT-737,MAPKAPK5,1.39876424565035
ABT-737,SHMT2,1.25897521598667
ABT-737,FHL2,-0.916133763743386
ABT-737,BCLAF1,-0.986718126371797
ABT-737,ACSF2,-0.942448873145908
ABT-737,C1QTNF1,0.615114174637142
ABT-737,KTN1,-0.951734150157258
ABT-737,MPO,-1.66557119406906
ABT-737,SSR4,0.973006837508261
ABT-737,PLAA,-0.729148916169706
ABT-737,DNAJB9,1.38545637972215
ABT-737,HYOU1,1.16108105229397
ABT-737,TRIB3,2.26553359218672
ABT-737,PIM2,0.934061480503458
ABT-737,PHKA1,1.11665970203923
ABT-737,NUPR1,1.49709556149501
ABT-737,GAPDH,-0.588005673651599
ABT-737,B4GAT1,-0.690991139879413
ABT-737,UTP14A,-0.828203369589411
ABT-737,EIF2AK3,1.13446672289979
ABT-737,TMEM260,-1.071246881111
ABT-737,DYNLRB1,-0.801888110590909
ABT-737,FOXF2,0.991654199712417
ABT-737,PTPRC,1.04763907077266
ABT-737,LGALS14,-0.497130015317131
ABT-737,HSPA12A,-0.949459880006079
ABT-737,CDH6,-0.938389890334184
ABT-737,PHYH,-1.6090107197855
ABT-737,FICD,0.591115470026054
ABT-737,OS9,1.11789324236851
ABT-737,ADIPOR2,0.838488962136063
ABT-737,BOP1,-1.07361373714372
ABT-737,CRYL1,-1.07274012472115
ABT-737,LSM3,-0.891257678761203
ABT-737,NAE1,-0.650182331309599
ABT-737,PLEKHA4,-0.788243723850624
ABT-737,B9D1,-0.798564106810325
ABT-737,JCHAIN,1.64001514163672
ABT-737,NPAS1,-0.444545124091354
ABT-737,NUCB2,0.778641467000924
ABT-737,SOCS6,-0.850594651465321
ABT-737,DYRK4,0.753101666768391
ABT-737,ACHE,-0.447113420449049
ABT-737,PSMC1,-0.641535861819397
ABT-737,RB1,0.836753761067111
ABT-737,ST3GAL1,0.857430574940703
ABT-737,ERCC2,-0.644226555730783
ABT-737,MYC,0.525396833232809
ABT-737,SH2B3,1.06148242482952
ABT-737,HLA-E,0.61336551928053
ABT-737,RAD1,0.776715919083238
ABT-737,LAX1,0.83136373875188
ABT-737,CLTA,-0.946344955294741
ABT-737,SLC1A5,0.738910104714183
ABT-737,PIN4,-0.818131493587118
ABT-737,PEPD,-0.734728336334231
ABT-737,TRIB1,0.753598998574652
ABT-737,MAPKAPK5-AS1,0.773251084720388
ABT-737,PHGDH,0.761336008707682
ABT-737,OGFOD1,0.800239534939035
ABT-737,AP5M1,-0.66398006327012
ABT-737,MED13L,0.823806084838567
