pathway_name,drug,logFC,kegg_pathway_ID
KEGG_ABC_TRANSPORTERS,sirolimus,0.117825367,hsa02010
KEGG_ABC_TRANSPORTERS,Geldanamycin,0.081860807,hsa02010
KEGG_ABC_TRANSPORTERS,vemurafenib,0.229021285,hsa02010
KEGG_ABC_TRANSPORTERS,ruxolitinib,-0.233869154,hsa02010
KEGG_ABC_TRANSPORTERS,Exemestane,0.2115369,hsa02010
KEGG_ABC_TRANSPORTERS,Everolimus,-0.255656579,hsa02010
KEGG_ABC_TRANSPORTERS,everolimus,-0.255656579,hsa02010
KEGG_ABC_TRANSPORTERS,Vinorelbine,-0.212049771,hsa02010
KEGG_ABC_TRANSPORTERS,Sirolimus,0.117825367,hsa02010
KEGG_ABC_TRANSPORTERS,Vinblastine,-0.302933114,hsa02010
KEGG_ABC_TRANSPORTERS,Mitoxantrone,0.266024192,hsa02010
KEGG_ACUTE_MYELOID_LEUKEMIA,vorinostat,0.097458136,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Fulvestrant,-0.139915562,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,crizotinib,0.285645293,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Fenretinide,0.210130615,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Epirubicin,-0.147439287,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Vinblastine,0.113426533,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,fulvestrant,-0.139915562,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Daunorubicin,-0.10228837,hsa05221
KEGG_ACUTE_MYELOID_LEUKEMIA,Vorinostat,0.097458136,hsa05221
KEGG_ADHERENS_JUNCTION,Simvastatin,-0.13528483,hsa04520
KEGG_ADHERENS_JUNCTION,Vinblastine,0.157958288,hsa04520
KEGG_ADHERENS_JUNCTION,Midostaurin,0.247921903,hsa04520
KEGG_ADHERENS_JUNCTION,Obatoclax,0.296350019,hsa04520
KEGG_ADHERENS_JUNCTION,vemurafenib,0.142809472,hsa04520
KEGG_ADHERENS_JUNCTION,midostaurin,0.247921903,hsa04520
KEGG_ADHERENS_JUNCTION,Enzastaurin,-0.136760266,hsa04520
KEGG_ADHERENS_JUNCTION,crizotinib,0.230707462,hsa04520
KEGG_ADHERENS_JUNCTION,Fenretinide,0.127263863,hsa04520
KEGG_ADHERENS_JUNCTION,alitretinoin,-0.181580922,hsa04520
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Sunitinib,0.235718479,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,sunitinib,0.235718479,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Bosutinib,0.209531396,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Obatoclax,0.188955397,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Irinotecan,0.1996109,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,palbociclib,0.196916641,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,Fludarabine,0.281890022,hsa04920
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,bosutinib,0.209531396,hsa04920
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,everolimus,-0.344258532,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Sorafenib,0.25440736,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Daunorubicin,0.196786661,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,anastrozole,-0.239136928,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,vorinostat,-0.093951041,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Vorinostat,-0.093951041,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Fenretinide,0.224049733,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Cediranib,-0.44235238,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,sorafenib,0.25440736,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Everolimus,-0.344258532,hsa00250
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,Anastrozole,-0.239136928,hsa00250
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,everolimus,0.251563072,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Capecitabine,-0.276016186,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,vorinostat,0.247526594,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Vorinostat,0.247526594,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Everolimus,0.251563072,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,alitretinoin,-0.257785976,hsa04960
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Doxorubicin,0.129650602,hsa04960
KEGG_ALLOGRAFT_REJECTION,MK-2206,-0.331747444,hsa05330
KEGG_ALLOGRAFT_REJECTION,Linifanib,0.490754826,hsa05330
KEGG_ALLOGRAFT_REJECTION,Geldanamycin,0.146580415,hsa05330
KEGG_ALLOGRAFT_REJECTION,Fludarabine,0.485919928,hsa05330
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Afatinib,0.246874944,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,ruxolitinib,0.302604323,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,afatinib,0.246874944,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Daunorubicin,0.280480194,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Neratinib,0.364676904,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,toremifene,0.21227972,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Vorinostat,0.207714718,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,vorinostat,0.207714718,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Toremifene,0.21227972,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Obatoclax,0.267615845,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,sorafenib,0.189777441,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,neratinib,0.364676904,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Simvastatin,0.220868689,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Sorafenib,0.189777441,hsa00592
KEGG_ALZHEIMERS_DISEASE,Daunorubicin,0.229906886,hsa05010
KEGG_ALZHEIMERS_DISEASE,Everolimus,-0.302539682,hsa05010
KEGG_ALZHEIMERS_DISEASE,Vinblastine,-0.161854144,hsa05010
KEGG_ALZHEIMERS_DISEASE,Geldanamycin,-0.068990566,hsa05010
KEGG_ALZHEIMERS_DISEASE,Doxorubicin,0.14911206,hsa05010
KEGG_ALZHEIMERS_DISEASE,Epirubicin,0.245815641,hsa05010
KEGG_ALZHEIMERS_DISEASE,Mitoxantrone,0.340865625,hsa05010
KEGG_ALZHEIMERS_DISEASE,everolimus,-0.302539682,hsa05010
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Cediranib,-0.31060559,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Sunitinib,-0.283313561,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Pazopanib,-0.213973101,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,sunitinib,-0.283313561,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,ruxolitinib,-0.198066082,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,everolimus,-0.235312217,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pazopanib,-0.213973101,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,crizotinib,-0.244428656,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Linifanib,0.244311946,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Daunorubicin,0.168756787,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,palbociclib,0.224727478,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Everolimus,-0.235312217,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,vorinostat,0.131443824,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Vorinostat,0.131443824,hsa00520
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Geldanamycin,0.091730329,hsa00520
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,imatinib,-0.311870802,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Pazopanib,0.333830513,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,dasatinib,0.295217683,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Vorinostat,-0.219047807,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Imatinib,-0.311870802,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Tamoxifen,0.301084064,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,erlotinib,0.321881517,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,vemurafenib,0.381569795,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Geldanamycin,0.127427726,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,tamoxifen,0.301084064,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,pazopanib,0.333830513,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,gefitinib,0.216850436,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,everolimus,-0.501916391,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,vorinostat,-0.219047807,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Fenretinide,0.188470405,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Erlotinib,0.321881517,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Dasatinib,0.295217683,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Capecitabine,0.246216506,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Gefitinib,0.216850436,hsa00970
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Everolimus,-0.501916391,hsa00970
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,Vorinostat,-0.052589654,hsa05014
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,Geldanamycin,0.071697195,hsa05014
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,vorinostat,-0.052589654,hsa05014
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,Linifanib,0.301242847,hsa04612
