A,B,ATCsim,STsim,SEsim,integrated_score,integrated_score2,TAG
Erlotinib,Teprotumumab,1.00E-50,0.3564775,1.00E-50,1.00E+00,1.00E-50,P
Cytarabine,Lintuzumab,1.00E-50,0.2671292,1.00E-50,1.00E+00,1.00E-50,P
Cetuximab,Mitoxantrone,0.2231302,0.4124881,1.00E-50,1,0.2231302,P
Cetuximab,Paclitaxel,0.2231302,0.3876302,1.00E-50,1,0.2231302,P
Cetuximab,Docetaxel,0.2231302,0.3846041,1.00E-50,1,0.2231302,P
Cetuximab,Afatinib,0.3678794,0.3672589,1.00E-50,1,0.3678794,P
Cetuximab,Gemcitabine,0.2231302,0.2962831,1.00E-50,1,0.2231302,P
Cetuximab,Fluorouracil,0.2231302,0.1702425,1.00E-50,1,0.2231302,P
17-DMAG,Arsenic trioxide,1.00E-50,1.00E-50,1.00E-50,1,0,P
2-Deoxyinosine,Fluorouracil,1.00E-50,0.245655409,1.00E-50,1,0.245655409,P
2-Methoxyestradiol,Cisplatin,1.00E-50,0.028433801,1.00E-50,1,0.028433801,P
2-Methoxyestradiol,Doxorubicin,1.00E-50,0.474986746,1.00E-50,1,0.474986746,P
Abiraterone,Prednisone,0.082084999,0.441263346,0.134482759,1,0.556099787,P
ABT-737,Cisplatin,1.00E-50,0.07540503,1.00E-50,1,0.07540503,P
ABT-737,Dexamethasone,1.00E-50,0.220117519,1.00E-50,1,0.220117519,P
ABT-737,Etoposide,1.00E-50,0.284711194,1.00E-50,1,0.284711194,P
ABT-751,Pemetrexed,1.00E-50,0.403486229,1.00E-50,1,0.403486229,P
AEE788,Everolimus,1.00E-50,0.28248337,1.00E-50,1,0.28248337,P
Afatinib,Paclitaxel,0.22313016,0.400984364,0.131465517,1,0.595821241,P
Aflibercept,Docetaxel,0.22313016,1.00E-50,1.00E-50,1,0.22313016,P
Aldesleukin,IL-27,1.00E-50,1.00E-50,1.00E-50,1,0,P
Aldesleukin,Sorafenib,0.135335283,1.00E-50,1.00E-50,1,0.135335283,P
Aminophylline,Theophylline,0.60653066,1,0.905263158,1,1,P
Anakinra,Dexamethasone,0.082084999,1.00E-50,1.00E-50,1,0.082084999,P
Arsenic trioxide,Tretinoin,0.60653066,0.048528872,1.00E-50,1,0.625625283,P
Arzoxifene,LG100268,1.00E-50,0.308966141,1.00E-50,1,0.308966141,P
Axitinib,Gemcitabine,0.22313016,0.255814092,1.00E-50,1,0.421864413,P
Azacitidine,Lenalidomide,0.135335283,0.329310713,0.290718039,1,0.588672239,P
Azacitidine,Romiplostim,0.082084999,1.00E-50,1.00E-50,1,0.082084999,P
Azacitidine,Sorafenib,0.22313016,0.27362199,0.226628895,1,0.563585782,P
Bexarotene,Methoxsalen,0.082084999,0.374448945,1.00E-50,1,0.425797303,P
Bortezomib,Cisplatin,0.367879441,0.081864136,1.00E-50,1,0.419627444,P
Bortezomib,Decitabine,0.22313016,0.272727203,0.218978102,1,0.558725516,P
Bortezomib,Doxorubicin,0.22313016,0.357620124,0.315850816,1,0.658578393,P
Bortezomib,Etoposide,0.22313016,0.292510106,0.161144578,1,0.538941941,P
Bortezomib,Idarubicin,0.22313016,0.364824755,0.101538462,1,0.55665551,P
Bortezomib,Lenalidomide,0.135335283,0.471940108,0.333333333,1,0.695603495,P
Bortezomib,Lonafarnib,1.00E-50,0.449006582,1.00E-50,1,0.449006582,P
Bortezomib,Vorinostat,0.60653066,0.399988488,0.073667712,1,0.781305792,P
Bosutinib,Lansoprazole,0.082084999,0.443646549,0.158898305,1,0.570461831,P
Bevacizumab,Capecitabine,0.22313016,1.00E-50,1.00E-50,1,0.22313016,P
Bevacizumab,Erlotinib,0.367879441,1.00E-50,1.00E-50,1,0.367879441,P
Bevacizumab,Fotemustine,0.22313016,1.00E-50,1.00E-50,1,0.22313016,P
Bevacizumab,Interferon alfa-2a,0.135335283,1.00E-50,1.00E-50,1,0.135335283,P
Bevacizumab,Lapatinib,0.367879441,1.00E-50,1.00E-50,1,0.367879441,P
Bevacizumab,Paclitaxel,0.22313016,1.00E-50,1.00E-50,1,0.22313016,P
Bevacizumab,Sunitinib,0.367879441,1.00E-50,1.00E-50,1,0.367879441,P
Bevacizumab,Temsirolimus,0.367879441,1.00E-50,1.00E-50,1,0.367879441,P
Busulfan,Melphalan,0.367879441,0.124068887,1.00E-50,1,0.446305935,P
Cabazitaxel,Prednisone,0.082084999,0.389700695,0.168639053,1,0.534269197,P
Canfosfamide,Doxorubicin,1.00E-50,0.396831788,0.033009709,1,0.416742195,P
Capecitabine,Cyclophosphamide,0.22313016,0.26766424,1.00E-50,1,0.431070435,P
Capecitabine,Irinotecan,0.22313016,0.438892438,0.215469613,1,0.658017287,P
Capecitabine,Ixabepilone,0.22313016,0.390634108,0.220502901,1,0.630987646,P
