A,B,ATCsim,STsim,SEsim,integrated_score,integrated_score2,TAG
Cetuximab,Docetaxel,0.082084999,1.00E-50,0,1,0.082084999,P
Cetuximab,Paclitaxel,0.22313016,1.00E-50,0,1,0.22313016,P
Cetuximab,Fluorouracil,0.082084999,1.00E-50,0,1,0.082084999,P
Cetuximab,Gemcitabine,0.082084999,1.00E-50,0,1,0.082084999,P
Cetuximab,Afatinib,0.135335283,1.00E-50,0,1,0.135335283,P
Cetuximab,Mitoxantrone,0.135335283,1.00E-50,0,1,0.135335283,P
Cytarabine,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1,1.00E-50,P
Erlotinib,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1,1.00E-50,P
SC144,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Thalidomide,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Cediranib,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Abiraterone,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
2-Deoxyinosine,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Axitinib,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Rosiglitazone,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Bortezomib,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Emodin,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
ABT-751,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Theophylline,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Genistein,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Olaparib,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Temsirolimus,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Lintuzumab,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Axitinib,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Letrozole,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Aclacinomycin A,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cediranib,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
2-Deoxyinosine,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Naloxone,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Trabectedin,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Idarubicin,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Etoposide,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Monastrol,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cytarabine,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
